ts_code,policy_code,policy_explicitness,company_exposure,profit_pool_fit,overcapacity_risk,mapping_evidence_required
600406.SH,NET_ENERGY,5,5,5,2,核实电网自动化保护控制收入和订单占比
000400.SZ,NET_ENERGY,5,5,4,2,核实特高压直流与保护控制订单占比
000682.SZ,NET_ENERGY,5,4,4,3,核实配电自动化收入订单与回款
002028.SZ,NET_ENERGY,5,5,4,2,核实输变电产品收入和海外订单
002270.SZ,NET_ENERGY,5,5,5,2,核实分接开关收入份额与定价能力
601179.SH,NET_ENERGY,5,5,3,3,核实高压设备订单和资本回报
600312.SH,NET_ENERGY,5,5,4,3,核实高压开关招标份额和毛利率
603606.SH,NET_ENERGY,5,5,4,3,核实高压海缆订单与交付利润
688248.SH,NET_ENERGY,5,4,4,2,核实电网检测数字化业务与客户集中度
600089.SH,NET_ENERGY,5,3,3,3,拆分输变电与资源业务利润贡献
002179.SZ,EMERGING_AUTO_ROBOT,4,3,4,2,核实机器人和智能汽车连接器收入占比
603501.SH,EMERGING_AUTO_ROBOT,4,4,3,3,核实汽车和机器视觉图像传感器收入占比
603662.SH,FUTURE_EMBODIED_AI,5,4,3,3,核实力学传感器在机器人领域的收入与客户
300007.SZ,KEY_TECH_IC_INSTRUMENT,4,3,3,3,核实传感器器件而非工程方案的收入利润
688052.SH,KEY_TECH_IC_INSTRUMENT,5,4,3,4,核实车规模拟和传感接口芯片量产收入
688322.SH,FUTURE_EMBODIED_AI,5,4,2,4,核实3D视觉商业化和单位经济性
688396.SH,KEY_TECH_IC_INSTRUMENT,5,4,3,4,核实MEMS与功率器件产能利用率和资本回报
688686.SH,KEY_TECH_IC_INSTRUMENT,4,4,3,3,核实机器视觉核心部件收入和自由现金流
688003.SH,KEY_TECH_IC_INSTRUMENT,4,4,3,3,核实工业测量设备订单质量和回款
002920.SZ,EMERGING_AUTO_ROBOT,5,5,4,3,核实智能驾驶域控制器量产收入与客户份额
601766.SH,NET_TRANSPORT,5,5,3,3,核实轨交装备新签订单毛利率和海外回款
688187.SH,NET_TRANSPORT,5,5,4,3,核实轨交控制与功率半导体收入利润池
601669.SH,NET_WATER,5,4,2,4,拆分水网工程订单并核实项目回款和资本回报
600283.SH,NET_WATER,5,4,3,2,核实供水运营资产特许期限水价和现金流
600941.SH,NET_COMM,5,5,4,2,核实通信网络资本开支强度与自由现金流
601728.SH,NET_COMM,5,5,3,2,核实通信云算力投入回报和自由现金流
000063.SZ,NET_COMM,5,5,3,4,核实运营商网络设备份额毛利率与回款
000977.SZ,NET_COMPUTE,5,5,3,4,核实算力服务器收入毛利与应收库存
603019.SH,NET_COMPUTE,5,5,3,4,核实算力基础设施收入与资本回报
600118.SH,NET_SPACE,5,5,2,4,核实卫星制造在手订单和项目现金流
600879.SH,NET_SPACE,5,5,3,3,核实卫星电子产品订单毛利和回款
