evidence_id,ts_code,evidence_type,metric_name,claim,observed_value,unit,evidence_date,published_date,source_type,source_url,direction,next_review_date,notes
CM-2025-DEMAND-01,600941.SH,DEMAND,通信与数字基础设施使用量,2025年5G网络客户和户均流量继续增长且千兆宽带与物联网连接扩大,"5G网络客户6.42亿同比+16.2%; DOU 17.3GB同比+9.0%; 千兆宽带客户1.09亿同比+9.8%; 物联网连接14.82亿同比+4.6%",组合指标,2025-12-31,2026-03-26,COMPANY_FILING,https://www.chinamobileltd.com/en/ir/business.php,SUPPORTS,2026-10-31,需求证据来自公司2025年度业务回顾；下一次以2026年中报复核
CM-2025-POOL-01,600941.SH,PROFIT_POOL,收入与资本开支承载能力,2025年主营业务收入保持增长且2026年计划资本开支下降并主要由经营活动现金流提供资金,"主营业务收入8955亿元同比+0.7%; 2025资本开支1509亿元; 2026计划资本开支1366亿元",亿元,2025-12-31,2026-03-26,COMPANY_FILING,https://www.chinamobileltd.com/en/ir/business.php,SUPPORTS,2026-10-31,只能支持总体利润池承载能力；仍需继续拆分算力服务资本回报
CM-2025-EXPOSURE-01,600941.SH,COMPANY_EXPOSURE,算力网络直接暴露,公司已形成通信网IDC机架智能算力和云服务的直接经营暴露,"外部IDC标准机架150.4万架同比+11.9%; 智能算力92.5 EFLOPS; 智能算力服务收入同比+279%",组合指标,2025-12-31,2026-03-26,COMPANY_FILING,https://www.chinamobileltd.com/en/ir/business.php,SUPPORTS,2026-10-31,公司暴露已确认；后续重点观察算力收入毛利和资本回报而非只看规模
XJ-2025-DEMAND-01,000400.SZ,DEMAND,电网投入与设备招标,2025年电网工程投资和输变电设备集中招标继续增长,"全国电网工程投资6395亿元同比+5.1%; 国家电网输变电设备六批集招920亿元同比增加约190亿元",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093676.PDF,SUPPORTS,2026-10-31,平高年报引用国家能源局和国家电网电子商务平台数据；以2026年中报及新批次招标复核
XJ-2025-EXPOSURE-01,000400.SZ,COMPANY_EXPOSURE,电网主业收入暴露,智能变配电和直流输电构成可单独核验的电网主业且国家电网是第一大客户,"智能变配电收入41.07亿元占27.39%; 直流输电收入10.18亿元占6.79%; 国家电网销售占51.89%",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096177.PDF,SUPPORTS,2026-10-31,公司直接暴露确认；客户集中同时构成议价风险
XJ-2025-POOL-01,000400.SZ,PROFIT_POOL,电网主业利润与现金转化,相关业务收入下降时毛利率仍改善且公司经营现金流明显回升,"智能变配电毛利率29.52%同比+5.26个百分点; 直流输电毛利率32.71%同比+1.79个百分点; 经营现金流26.70亿元同比+105.59%",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096177.PDF,SUPPORTS,2026-10-31,支持利润池韧性但尚不证明收入重新增长
XJ-2025-CAUTION-01,000400.SZ,COMPANY_EXPOSURE,相关业务收入兑现风险,智能变配电和直流输电收入均下降说明需求尚未完整转化为公司收入,"智能变配电收入同比-12.84%; 直流输电收入同比-29.47%; 公司总收入同比-12.27%",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096177.PDF,CAUTION,2026-10-31,保留2.5%试错仓但不得据此升级；中报继续下降且份额或毛利同步恶化时转为CONTRADICTS
PG-2025-DEMAND-01,600312.SH,DEMAND,电网投入与设备招标,2025年电网工程投资和输变电设备集中招标继续增长,"全国电网工程投资6395亿元同比+5.1%; 国家电网输变电设备六批集招920亿元同比增加约190亿元",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093676.PDF,SUPPORTS,2026-10-31,公司年报引用国家能源局和国家电网电子商务平台数据；以2026年中报及新批次招标复核
PG-2025-EXPOSURE-01,600312.SH,COMPANY_EXPOSURE,高压开关直接暴露,高压板块是公司第一大产品且国家电网为主要客户,"高压板块收入77.47亿元; 国家电网销售80.50亿元占64.32%; 国网南网中标合同规模持续增长",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093676.PDF,SUPPORTS,2026-10-31,公司直接暴露确认；高客户集中度也意味着招标价格和采购节奏风险
PG-2025-POOL-01,600312.SH,PROFIT_POOL,高压板块利润与订单前置信号,高压板块毛利率和公司利润改善且重点项目预收款增加,"高压板块毛利率27.76%同比+2.23个百分点; 归母净利润11.20亿元同比+9.45%; 合同负债17.30亿元同比+44.42%",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093676.PDF,SUPPORTS,2026-10-31,合同负债支持后续交付但不等于最终利润
PG-2025-CAUTION-01,600312.SH,PROFIT_POOL,现金转化风险,2025年利润增长但经营现金流明显下降且国际板块仍亏损,"经营现金流8.11亿元同比-73.05%; 国际板块毛利率-24.39%",组合指标,2025-12-31,2026-04-11,COMPANY_FILING,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093676.PDF,CAUTION,2026-10-31,保留2.5%试错仓但不得据此升级；连续两个复核期现金转化恶化时转为CONTRADICTS
