ts_code,demand_status,profit_pool_status,company_status,invalidation_status,demand_test,profit_pool_test,company_test,invalidation_test,evidence_date,evidence_source,next_review_date
600406.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,电网投资与系统复杂度继续提升,控制保护环节订单和毛利率未被价格战侵蚀,公司订单份额及经营现金流同步改善,电网投资放缓或核心份额持续下降,,,
002270.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,变压器新增及更新需求持续,分接开关价值量和定价能力稳定,海外订单和现金利润持续兑现,客户转向替代方案或毛利率持续下降,,,
002179.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,高可靠信号连接需求增长,认证壁垒能维持价格和利润,民品或军品订单及现金流兑现,关键客户流失或产品价格持续下滑,,,
000400.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,特高压及电网自动化招标增长,保护控制和直流设备获得利润池,订单转收入且毛利率与现金流稳定,招标下降或应收现金流显著恶化,,,
002028.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,输配电扩容需求持续,一次设备和电力电子保持利润率,订单份额和经营现金流改善,订单增长但利润率持续下降,,,
600312.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,高压及特高压开关需求增长,高压开关招标价格与利润稳定,订单转化及经营现金流同步增长,招标份额或毛利率持续下降,,,
603501.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,汽车和机器视觉图像需求增长,高端图像传感器维持价值量,高端产品份额和现金流改善,产品降价超过出货增长,,,
002920.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,辅助驾驶与座舱计算渗透率提升,价值向域控制和系统集成集中,新项目量产并产生现金利润,客户自研导致份额持续下降,,,
000682.SZ,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,配电网数字化投资增长,自动化系统利润率稳定,订单回款和现金流改善,应收持续恶化或地方项目收缩,,,
601179.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,特高压主网建设增长,大型一次设备利润率改善,订单份额和资本回报改善,增收不增利或资本回报继续下降,,,
603606.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,海风和高压输电项目增加,高端海缆维持认证与交付溢价,在手订单按期转化为现金利润,项目延期或行业大幅扩产压价,,,
688248.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,新型电力系统检测数字化需求增长,技术服务和智能设备保持利润率,客户扩展且现金流兑现,客户集中度和估值风险继续上升,,,
688052.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,传感接口和隔离芯片需求增长,国产模拟信号链避免同质化价格战,汽车定点量产并转为正自由现金流,持续亏损或产品价格快速下降,,,
603662.SH,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,机器人和自动化力学感知需求增长,力学传感器保持定价和份额,新应用收入与自由现金流同步增长,竞争加剧且现金转换持续弱,,,
